"","state","numcol","yieldpercol","totalprod","stocks","priceperlb","prodvalue","year","consumption"
"117","OK",7000,35,245000,64000,1.26,309000,2000,181000
"118","OR",48000,51,2448000,1665000,0.66,1616000,2000,783000
"119","PA",25000,45,1125000,630000,0.76,855000,2000,495000
"120","SD",235000,121,28435000,12796000,0.58,16492000,2000,15639000
"121","TN",9000,61,549000,104000,1.43,785000,2000,445000
"122","TX",105000,79,8295000,2986000,0.57,4728000,2000,5309000
"123","UT",24000,41,984000,462000,0.6,590000,2000,522000
"124","VT",7000,59,413000,211000,0.68,281000,2000,202000
"125","VA",7000,42,294000,103000,1.5,441000,2000,191000
"126","WA",52000,54,2808000,1151000,0.58,1629000,2000,1657000
"127","WV",7000,54,378000,234000,1.22,461000,2000,144000
"128","WI",84000,90,7560000,4385000,0.68,5141000,2000,3175000
"129","WY",39000,93,3627000,798000,0.59,2140000,2000,2829000
"130","AL",14000,73,1022000,235000,0.72,736000,2001,787000
"131","AZ",43000,59,2537000,1142000,0.72,1827000,2001,1395000
"132","AR",50000,98,4900000,1617000,0.65,3185000,2001,3283000
"133","CA",460000,61,28060000,7857000,0.69,19361000,2001,20203000
"134","CO",26000,55,1430000,529000,0.71,1015000,2001,901000
"135","FL",220000,100,2.2e+07,3432000,0.64,14080000,2001,18568000
"136","GA",55000,57,3135000,188000,0.7,2195000,2001,2947000
"137","HI",8000,87,696000,84000,0.87,606000,2001,612000
"138","ID",1e+05,46,4600000,1610000,0.67,3082000,2001,2990000
"139","IL",6000,76,456000,251000,1.58,720000,2001,205000
"140","IN",7000,76,532000,186000,0.92,489000,2001,346000
"141","IA",33000,51,1683000,875000,0.75,1262000,2001,808000
"142","KS",13000,51,663000,530000,0.96,636000,2001,133000
"143","KY",4000,78,312000,125000,1.41,440000,2001,187000
"144","LA",45000,106,4770000,572000,0.6,2862000,2001,4198000
"145","ME",11000,20,220000,106000,0.79,174000,2001,114000
"146","MD",4000,46,184000,55000,1.6,294000,2001,129000
"147","MI",76000,60,4560000,2827000,0.81,3694000,2001,1733000
"148","MN",135000,81,10935000,1859000,0.65,7108000,2001,9076000
"149","MS",17000,66,1122000,224000,0.89,999000,2001,898000
"150","MO",22000,61,1342000,336000,0.71,953000,2001,1006000
"151","MT",136000,102,13872000,4578000,0.67,9294000,2001,9294000
"152","NE",43000,48,2064000,1115000,0.72,1486000,2001,949000
"153","NV",9000,50,450000,36000,2.14,963000,2001,414000
"154","NJ",11000,34,374000,71000,0.85,318000,2001,303000
"155","NM",10000,70,7e+05,350000,0.66,462000,2001,350000
"156","NY",53000,70,3710000,1781000,0.79,2931000,2001,1929000
"157","NC",13000,44,572000,172000,1.48,847000,2001,4e+05
"158","ND",280000,96,26880000,9408000,0.69,18547000,2001,17472000
"159","OH",18000,81,1458000,569000,1.01,1473000,2001,889000
"160","OK",4000,47,188000,105000,1.43,269000,2001,83000
"161","OR",44000,44,1936000,1200000,0.74,1433000,2001,736000
"162","PA",26000,57,1482000,785000,0.92,1363000,2001,697000
"163","SC",7000,40,280000,67000,0.79,221000,2001,213000
"164","SD",235000,65,15275000,12220000,0.71,10845000,2001,3055000
"165","TN",8000,59,472000,131000,1.39,656000,2001,341000
"166","TX",97000,79,7663000,1533000,0.65,4981000,2001,6130000
"167","UT",23000,38,874000,315000,0.65,568000,2001,559000
"168","VT",7000,81,567000,249000,0.92,522000,2001,318000
"169","VA",9000,52,468000,94000,1.26,590000,2001,374000
"170","WA",48000,52,2496000,1048000,0.72,1797000,2001,1448000
"171","WV",7000,65,455000,410000,1.42,646000,2001,45000
"172","WI",67000,81,5427000,3419000,0.82,4450000,2001,2008000
"173","WY",38000,77,2926000,468000,0.65,1902000,2001,2458000
"174","AL",12000,86,1032000,103000,1.18,1218000,2002,929000
"175","AZ",38000,63,2394000,1197000,1.08,2586000,2002,1197000
"176","AR",45000,88,3960000,871000,1.26,4990000,2002,3089000
"177","CA",470000,50,23500000,3525000,1.32,31020000,2002,19975000
"178","CO",24000,60,1440000,576000,1.29,1858000,2002,864000
"179","FL",220000,93,20460000,2026000,1.14,23324000,2002,18434000
"180","GA",50000,52,2600000,52000,1.13,2938000,2002,2548000
"181","HI",7000,136,952000,29000,1.11,1057000,2002,923000
"182","ID",1e+05,57,5700000,1653000,1.37,7809000,2002,4047000
"183","IL",9000,80,720000,130000,1.47,1058000,2002,590000
"184","IN",8000,62,496000,233000,1.19,590000,2002,263000
"185","IA",33000,70,2310000,901000,1.43,3303000,2002,1409000
"186","KS",17000,52,884000,407000,1.5,1326000,2002,477000
"187","KY",5000,54,270000,78000,1.63,440000,2002,192000
"188","LA",35000,124,4340000,347000,1.16,5034000,2002,3993000
"189","ME",11000,41,451000,266000,1.21,546000,2002,185000
"190","MD",3000,46,138000,21000,1.96,270000,2002,117000
"191","MI",72000,77,5544000,1885000,1.4,7762000,2002,3659000
"192","MN",117000,73,8541000,1110000,1.47,12555000,2002,7431000
"193","MS",18000,78,1404000,281000,1.23,1727000,2002,1123000
"194","MO",18000,50,9e+05,189000,1.42,1278000,2002,711000
"195","MT",134000,63,8442000,1097000,1.38,11650000,2002,7345000
"196","NE",43000,75,3225000,1161000,1.49,4805000,2002,2064000
"197","NV",9000,62,558000,61000,2.67,1490000,2002,497000
"198","NJ",11000,40,440000,92000,1,440000,2002,348000
"199","NM",11000,44,484000,252000,1.1,532000,2002,232000
"200","NY",60000,98,5880000,2470000,1.25,7350000,2002,3410000
"201","NC",16000,42,672000,74000,1.41,948000,2002,598000
"202","ND",320000,75,2.4e+07,8160000,1.46,35040000,2002,15840000
"203","OH",18000,70,1260000,504000,1.44,1814000,2002,756000
"204","OK",3000,53,159000,51000,1.63,259000,2002,108000
"205","OR",43000,49,2107000,885000,1.35,2844000,2002,1222000
"206","PA",29000,57,1653000,827000,1.34,2215000,2002,826000
"207","SC",5000,94,470000,14000,1.25,588000,2002,456000
"208","SD",225000,51,11475000,2410000,1.42,16295000,2002,9065000
"209","TN",8000,61,488000,137000,1.4,683000,2002,351000
"210","TX",114000,67,7638000,985000,1.14,8707000,2002,6653000
"211","UT",22000,59,1298000,208000,1.3,1687000,2002,1090000
"212","VT",7000,89,623000,274000,1.2,748000,2002,349000
"213","VA",8000,38,304000,79000,1.9,578000,2002,225000
"214","WA",50000,51,2550000,561000,1.27,3239000,2002,1989000
"215","WV",9000,51,459000,151000,1.32,606000,2002,308000
"216","WI",70000,95,6650000,2461000,1.34,8911000,2002,4189000
"217","WY",38000,63,2394000,383000,1.33,3184000,2002,2011000
"218","AL",13000,82,1066000,43000,1.24,1322000,2003,1023000
"219","AZ",35000,72,2520000,983000,1.34,3377000,2003,1537000
"220","AR",40000,75,3e+06,810000,1.26,3780000,2003,2190000
"221","CA",480000,67,32160000,6432000,1.39,44702000,2003,25728000
"222","CO",24000,86,2064000,722000,1.4,2890000,2003,1342000
"223","FL",210000,71,14910000,1491000,1.32,19681000,2003,13419000
"224","GA",52000,65,3380000,270000,1.28,4326000,2003,3110000
"225","HI",7000,114,798000,43000,1.45,1157000,2003,755000
"226","ID",1e+05,46,4600000,1380000,1.33,6118000,2003,3220000
"227","IL",7000,60,420000,252000,1.83,769000,2003,168000
"228","IN",5000,56,280000,78000,1.66,465000,2003,202000
"229","IA",32000,59,1888000,868000,1.42,2681000,2003,1020000
"230","KS",16000,57,912000,447000,1.41,1286000,2003,465000
"231","KY",5000,48,240000,14000,1.67,401000,2003,226000
"232","LA",34000,90,3060000,275000,1.24,3794000,2003,2785000
"233","ME",8000,33,264000,145000,1.41,372000,2003,119000
"234","MD",2000,42,84000,21000,1.93,162000,2003,63000
"235","MI",65000,74,4810000,1732000,1.41,6782000,2003,3078000
"236","MN",120000,83,9960000,1892000,1.44,14342000,2003,8068000
"237","MS",21000,69,1449000,246000,1.29,1869000,2003,1203000
"238","MO",17000,53,901000,189000,1.41,1270000,2003,712000
"239","MT",145000,66,9570000,1914000,1.44,13781000,2003,7656000
"240","NE",45000,74,3330000,1299000,1.38,4595000,2003,2031000
"241","NV",6000,64,384000,46000,2.04,783000,2003,338000
"242","NJ",10000,19,190000,101000,1.6,304000,2003,89000
"243","NM",6000,41,246000,108000,1.2,295000,2003,138000
"244","NY",67000,72,4824000,1640000,1.36,6561000,2003,3184000
"245","NC",10000,44,440000,79000,1.92,845000,2003,361000
"246","ND",340000,87,29580000,6803000,1.36,40229000,2003,22777000
"247","OH",15000,50,750000,278000,1.4,1050000,2003,472000
"248","OK",3000,47,141000,69000,1.84,259000,2003,72000
"249","OR",42000,51,2142000,964000,1.27,2720000,2003,1178000
"250","PA",27000,50,1350000,419000,1.44,1944000,2003,931000
"251","SC",4000,70,280000,8000,1.89,529000,2003,272000
"252","SD",215000,70,15050000,2709000,1.43,21522000,2003,12341000
"253","TN",6000,40,240000,46000,1.52,365000,2003,194000
"254","TX",140000,67,9380000,1126000,1.4,13132000,2003,8254000
"255","UT",25000,57,1425000,157000,1.28,1824000,2003,1268000
"256","VT",7000,83,581000,163000,1.96,1139000,2003,418000
"257","VA",6000,37,222000,69000,1.68,373000,2003,153000
"258","WA",58000,56,3248000,942000,1.46,4742000,2003,2306000
"259","WV",8000,47,376000,194000,1.89,711000,2003,182000
"260","WI",74000,77,5698000,2678000,1.47,8376000,2003,3020000
"261","WY",39000,81,3159000,474000,1.41,4454000,2003,2685000
"262","AL",12000,87,1044000,282000,1.41,1472000,2004,762000
"263","AZ",32000,55,1760000,774000,1.11,1954000,2004,986000
"264","AR",40000,57,2280000,388000,0.87,1984000,2004,1892000
"265","CA",390000,45,17550000,5792000,1.05,18428000,2004,11758000
"266","CO",23000,80,1840000,791000,1.35,2484000,2004,1049000
"267","FL",205000,98,20090000,2009000,1.02,20492000,2004,18081000
"268","GA",63000,49,3087000,648000,1.2,3704000,2004,2439000
"269","HI",8000,96,768000,77000,1.59,1221000,2004,691000
"270","ID",1e+05,63,6300000,2520000,1.02,6426000,2004,3780000
"271","IL",7000,55,385000,193000,1.86,716000,2004,192000
"272","IN",7000,59,413000,145000,1.47,607000,2004,268000
"273","IA",35000,67,2345000,1337000,1.06,2486000,2004,1008000
"274","KS",14000,80,1120000,683000,1.18,1322000,2004,437000
"275","KY",5000,56,280000,34000,1.96,549000,2004,246000
"276","LA",35000,98,3430000,240000,0.79,2710000,2004,3190000
"277","ME",7000,31,217000,37000,1.28,278000,2004,180000
"278","MI",65000,67,4355000,2439000,1.16,5052000,2004,1916000
"279","MN",135000,75,10125000,1924000,1.08,10935000,2004,8201000
"280","MS",18000,65,1170000,421000,0.79,924000,2004,749000
"281","MO",16000,41,656000,151000,1.36,892000,2004,505000
"282","MT",140000,77,10780000,3773000,1.08,11642000,2004,7007000
"283","NE",51000,89,4539000,2043000,1.01,4584000,2004,2496000
"284","NV",14000,55,770000,316000,1.78,1371000,2004,454000
"285","NJ",12000,27,324000,45000,1.4,454000,2004,279000
"286","NM",8000,44,352000,127000,1.19,419000,2004,225000
"287","NY",64000,67,4288000,1887000,1.36,5832000,2004,2401000
"288","NC",9000,40,360000,72000,1.93,695000,2004,288000
"289","ND",390000,78,30420000,9126000,1.05,31941000,2004,21294000
"290","OH",16000,58,928000,353000,1.53,1420000,2004,575000
"291","OR",42000,54,2268000,1111000,1.21,2744000,2004,1157000
"292","PA",30000,54,1620000,810000,1.42,2300000,2004,810000
"293","SD",215000,105,22575000,13545000,1.01,22801000,2004,9030000
"294","TN",6000,54,324000,91000,1.73,561000,2004,233000
"295","TX",116000,76,8816000,1411000,0.97,8552000,2004,7405000
"296","UT",24000,70,1680000,554000,1.1,1848000,2004,1126000
"297","VT",6000,68,408000,192000,1.51,616000,2004,216000
"298","VA",7000,38,266000,69000,2.1,559000,2004,197000
"299","WA",56000,63,3528000,1376000,0.98,3457000,2004,2152000
"300","WV",9000,55,495000,183000,1.41,698000,2004,312000
"301","WI",68000,86,5848000,2632000,1.19,6959000,2004,3216000
"302","WY",39000,75,2925000,380000,1.1,3218000,2004,2545000
"303","AL",13000,66,858000,266000,1.02,875000,2005,592000
"304","AZ",36000,50,1800000,720000,1.04,1872000,2005,1080000
"305","AR",36000,69,2484000,571000,0.97,2409000,2005,1913000
"306","CA",4e+05,75,3e+07,9300000,0.86,25800000,2005,20700000
"307","CO",28000,70,1960000,902000,0.97,1901000,2005,1058000
"308","FL",160000,86,13760000,2477000,0.87,11971000,2005,11283000
"309","GA",59000,49,2891000,434000,0.89,2573000,2005,2457000
"310","HI",9000,131,1179000,283000,1.43,1686000,2005,896000
"311","ID",95000,37,3515000,1793000,0.8,2812000,2005,1722000
"312","IL",8000,85,680000,408000,1.84,1251000,2005,272000
"313","IN",8000,64,512000,189000,1.18,604000,2005,323000
"314","IA",28000,88,2464000,1232000,1.21,2981000,2005,1232000
"315","KS",16000,50,8e+05,328000,1.05,840000,2005,472000
"316","KY",5000,50,250000,40000,2.08,520000,2005,210000
"317","LA",35000,97,3395000,611000,0.72,2444000,2005,2784000
"318","ME",8000,26,208000,193000,1.66,345000,2005,15000
"319","MI",65000,68,4420000,2519000,0.94,4155000,2005,1901000
"320","MN",120000,74,8880000,1598000,0.9,7992000,2005,7282000
"321","MS",16000,80,1280000,346000,0.67,858000,2005,934000
"322","MO",15000,50,750000,180000,1.22,915000,2005,570000
"323","MT",130000,67,8710000,3136000,0.86,7491000,2005,5574000
"324","NE",40000,68,2720000,2530000,0.87,2366000,2005,190000
"325","NV",12000,46,552000,442000,3.11,1717000,2005,110000
"326","NJ",12000,32,384000,104000,1.2,461000,2005,280000
"327","NM",7000,49,343000,113000,1.03,353000,2005,230000
"328","NY",59000,73,4307000,2283000,1.34,5771000,2005,2024000
"329","NC",10000,54,540000,146000,1.88,1015000,2005,394000
"330","ND",370000,91,33670000,8418000,0.83,27946000,2005,25252000
"331","OH",15000,69,1035000,580000,1.4,1449000,2005,455000
"332","OR",39000,42,1638000,557000,1.08,1769000,2005,1081000
"333","PA",28000,56,1568000,8e+05,1.12,1756000,2005,768000
"334","SD",220000,79,17380000,11818000,0.83,14425000,2005,5562000
"335","TN",7000,55,385000,92000,1.67,643000,2005,293000
"336","TX",84000,71,5964000,954000,0.86,5129000,2005,5010000
"337","UT",24000,45,1080000,346000,0.95,1026000,2005,734000
"338","VT",6000,91,546000,169000,1.12,612000,2005,377000
"339","VA",8000,37,296000,59000,2.2,651000,2005,237000
"340","WA",51000,55,2805000,1935000,1.01,2833000,2005,870000
"341","WV",8000,51,408000,102000,1.29,526000,2005,306000
"342","WI",64000,83,5312000,2922000,1.14,6056000,2005,2390000
"343","WY",40000,56,2240000,291000,0.89,1994000,2005,1949000
"344","AL",11000,72,792000,230000,1.21,958000,2006,562000
"345","AZ",30000,65,1950000,839000,0.91,1775000,2006,1111000
"346","AR",32000,76,2432000,730000,0.89,2164000,2006,1702000
"347","CA",380000,52,19760000,7706000,0.97,19167000,2006,12054000
"348","CO",36000,75,2700000,1458000,1.04,2808000,2006,1242000
"349","FL",170000,81,13770000,1790000,1,13770000,2006,11980000
"350","GA",63000,74,4662000,746000,1.2,5594000,2006,3916000
"351","HI",10000,93,930000,233000,1.21,1125000,2006,697000
"352","ID",95000,44,4180000,2592000,0.97,4055000,2006,1588000
"353","IL",10000,66,660000,356000,2.14,1412000,2006,304000
"354","IN",7000,54,378000,125000,1.58,597000,2006,253000
"355","IA",26000,84,2184000,1441000,1.37,2992000,2006,743000
"356","KS",14000,55,770000,246000,1.17,901000,2006,524000
"357","KY",5000,56,280000,70000,2.19,613000,2006,210000
"358","LA",30000,90,2700000,675000,0.9,2430000,2006,2025000
"359","ME",11000,23,253000,86000,1.6,405000,2006,167000
"360","MI",72000,55,3960000,2099000,1.15,4554000,2006,1861000
"361","MN",125000,80,1e+07,3300000,0.94,9400000,2006,6700000
"362","MS",14000,98,1372000,453000,0.93,1276000,2006,919000
"363","MO",15000,46,690000,117000,0.98,676000,2006,573000
"364","MT",132000,79,10428000,1981000,0.95,9907000,2006,8447000
"365","NE",47000,73,3431000,3843000,0.93,3191000,2006,-412000
"366","NV",9000,37,333000,50000,3.62,1205000,2006,283000
"367","NJ",9000,36,324000,152000,1.14,369000,2006,172000
"368","NM",7000,48,336000,104000,1.19,4e+05,2006,232000
"369","NY",58000,64,3712000,2376000,1.3,4826000,2006,1336000
"370","NC",10000,50,5e+05,215000,1.57,785000,2006,285000
"371","ND",350000,74,25900000,7770000,0.91,23569000,2006,18130000
"372","OH",14000,56,784000,282000,1.4,1098000,2006,502000
"373","OR",46000,48,2208000,729000,1.05,2318000,2006,1479000
"374","PA",28000,40,1120000,605000,1.63,1826000,2006,515000
"375","SD",225000,47,10575000,10575000,0.94,9941000,2006,0
"376","TN",7000,55,385000,58000,1.84,708000,2006,327000
"377","TX",82000,70,5740000,976000,0.89,5109000,2006,4764000
"378","UT",26000,50,1300000,299000,0.98,1274000,2006,1001000
"379","VT",6000,56,336000,144000,1.2,403000,2006,192000
"380","VA",8000,42,336000,114000,2.2,739000,2006,222000
"381","WA",49000,52,2548000,1605000,1.24,3160000,2006,943000
"382","WV",6000,42,252000,68000,2.02,509000,2006,184000
"383","WI",64000,93,5952000,2500000,1.12,6666000,2006,3452000
"384","WY",39000,85,3315000,497000,0.98,3249000,2006,2818000
"385","AL",11000,56,616000,209000,1.49,918000,2007,407000
"386","AZ",30000,64,1920000,902000,1.26,2419000,2007,1018000
"387","AR",28000,80,2240000,672000,0.95,2128000,2007,1568000
"388","CA",340000,40,13600000,3672000,1.04,14144000,2007,9928000
"389","CO",31000,51,1581000,838000,1.15,1818000,2007,743000
"390","FL",160000,71,11360000,1363000,0.99,11246000,2007,9997000
"391","GA",60000,58,3480000,522000,1.19,4141000,2007,2958000
"392","HI",10000,92,920000,285000,1.7,1564000,2007,635000
"393","ID",92000,41,3772000,1848000,1.15,4338000,2007,1924000
"394","IL",9000,63,567000,374000,2.49,1412000,2007,193000
"395","IN",8000,53,424000,119000,1.5,636000,2007,305000
"396","IA",26000,81,2106000,1221000,1.31,2759000,2007,885000
"397","KS",14000,40,560000,196000,1.18,661000,2007,364000
"398","KY",4000,61,244000,54000,2.12,517000,2007,190000
"399","LA",29000,89,2581000,413000,1.08,2787000,2007,2168000
"400","ME",9000,26,234000,59000,1.32,309000,2007,175000
"401","MI",72000,64,4608000,2350000,1.19,5484000,2007,2258000
"402","MN",130000,68,8840000,2564000,1.04,9194000,2007,6276000
"403","MS",15000,92,1380000,166000,0.91,1256000,2007,1214000
"404","MO",14000,46,644000,148000,1.12,721000,2007,496000
"405","MT",135000,68,9180000,2479000,0.99,9088000,2007,6701000
"406","NE",45000,49,2205000,1477000,1.03,2271000,2007,728000
"407","NV",10000,28,280000,67000,2.99,837000,2007,213000
"408","NJ",9000,57,513000,185000,1.96,1005000,2007,328000
"409","NM",6000,59,354000,138000,1.42,503000,2007,216000
"410","NY",53000,57,3021000,1843000,1.38,4169000,2007,1178000
"411","NC",12000,45,540000,76000,2.49,1345000,2007,464000
"412","ND",420000,74,31080000,9013000,0.96,29837000,2007,22067000
"413","OH",14000,61,854000,376000,1.77,1512000,2007,478000
"414","OR",46000,43,1978000,1088000,1.31,2591000,2007,890000
"415","PA",25000,42,1050000,326000,1.7,1785000,2007,724000
"416","SD",255000,52,13260000,10608000,1.02,13525000,2007,2652000
"417","TN",7000,65,455000,114000,1.99,905000,2007,341000
"418","TX",105000,82,8610000,1550000,0.96,8266000,2007,7060000
"419","UT",28000,42,1176000,270000,1.13,1329000,2007,906000
"420","VT",5000,64,320000,96000,1.7,544000,2007,224000
"421","VA",6000,46,276000,63000,2.43,671000,2007,213000
"422","WA",46000,44,2024000,648000,1.25,2530000,2007,1376000
"423","WV",6000,48,288000,95000,2.09,602000,2007,193000
"424","WI",60000,84,5040000,3024000,1.22,6149000,2007,2016000
"425","WY",43000,80,3440000,894000,1,3440000,2007,2546000
"426","AL",9000,66,594000,214000,1.9,1129000,2008,380000
"427","AZ",25000,64,1600000,336000,1.26,2016000,2008,1264000
"428","AR",28000,75,2100000,525000,1.35,2835000,2008,1575000
"429","CA",360000,51,18360000,4039000,1.39,25520000,2008,14321000
"430","CO",27000,45,1215000,656000,1.51,1835000,2008,559000
"431","FL",150000,79,11850000,1304000,1.32,15642000,2008,10546000
